X_id,Y_id,metric,mean_rel_change,std_rel_change,snr_a,total_time,D_baseline,rel_changes
gaussian_mixture_282,swissroll_102,RISWIE-PCA,1.5004963476834023e-05,0.0,,0.2578294277191162,10.634123119690718,[1.50049635e-05]
normal_118,normal_10,Standard Sliced Wasserstein,0.01238465759125936,0.0,,3.8587729930877686,0.04712576602029409,[0.01238466]
normal_118,normal_10,RISWIE-PCA,0.034087323315275024,0.0,,0.26600074768066406,0.042659753760759776,[0.03408732]
swissroll_1,gaussian_mixture_286,Standard Sliced Wasserstein,0.014218420611123784,0.0,,3.697305679321289,3.2275309604368103,[0.01421842]
swissroll_1,gaussian_mixture_286,RISWIE-PCA,0.006151346942410016,0.0,,0.2937173843383789,10.820337730277684,[0.00615135]
banana_48,gaussian_mixture_264,Standard Sliced Wasserstein,0.011079944279934034,0.0,,3.3843986988067627,3.0689505245416706,[0.01107994]
banana_48,gaussian_mixture_264,RISWIE-PCA,0.0007751201394296598,0.0,,0.26718997955322266,10.605093165879504,[0.00077512]
cylinder_84,banana_63,Standard Sliced Wasserstein,1.0346823013376911,0.0,,3.460914373397827,0.03999908013986972,[1.0346823]
cylinder_84,banana_63,RISWIE-PCA,0.10719758578129299,0.0,,0.28012847900390625,0.20554158146289395,[0.10719759]
torus_103,cylinder_70,Standard Sliced Wasserstein,0.12673617766468487,0.0,,3.610084295272827,0.15230753258881494,[0.12673618]
torus_103,cylinder_70,RISWIE-PCA,0.007204078987516542,0.0,,0.2596125602722168,0.5792257141691184,[0.00720408]
torus_146,cylinder_107,Standard Sliced Wasserstein,0.15920285758351488,0.0,,3.608285665512085,0.13726974790165172,[0.15920286]
torus_146,cylinder_107,RISWIE-PCA,0.011606147758407433,0.0,,0.25947070121765137,0.5220892604769928,[0.01160615]
